2016-01-01 02:118:00,1.9991220883089686478*10^+00
2016:01:01 02-52-00,0.0
2016-01-01 14:122:00,0.000000
2016-01-01 91:40:00,2.7190664*10^-01
2016-01-02 14:08:00,.
#2016-01-03 12:32:00,2.45*10^+00
2016-01-03 20:98:00,0.000000000000000
2016-01-04 07:52:00,#0.00
2016-01-04 12:56:00,#2.6901354047890*10^-01
2016-01-04 19:78:00,6*10^-01
2016-01-05 02:32:00,
2016-01-06 03:08:00,#0.0000
2016-01-06 07:48:00,1.294620*10^+00#
#2016-01-06 10:40:00,1.31*10^+00
2016-01-06 23:16:00,.
2016-01-07 11:28:00,1.1760035432763*10^+00#
2016-01-07 13:12:00,1.4132344031*10^+00#
2016-01-08 04:12:00,00.0000000000
2016-01-08 13:32:00,.
,2.0236393353081*10^+00
2016-01-09 92:48:00,0.0000000000000000
2016-01-10 07:04:00,
,1.4903*10^+00
2016-01-10 83:12:00,4.3337163*10^-01
2016-01-10 20:114:00,1.520*10^+00
2016-01-10 23:48:00,
2016-01-11 14:94:00,1.7605454203*10^-01
2016-01-12 10:78:00,2.254113818171487260*10^+00
2016:01:12 18-40-00,2.16916478991935*10^+00
2016-01-13 01:48:00,04.78574599362246056*10^-01
2016-01-13 06:56:00,.
2016-01-13 08:82:00,0.000
#2016-01-14 03:00:00,2.9344677943431154*10^+00
2016-01-14 11:12:00,0.00000#
2016-01-14 81:48:00,1*10^+00
2016:01:16 01-32-00,1.6599*10^+00
2016-01-16 18:36:00,00.00000000000000
2016-01-16 20:24:00,0.000000000000000000#
2016-01-16 23:16:00,#0.00000000000
2016-01-17 02:44:00,#1.422818470943169045*10^+00
#2016-01-17 16:48:00,7.9*10^-01
#2016-01-18 06:40:00,1.5620*10^-01
#2016-01-18 08:36:00,8.8028353819636784294*10^-01
2016-01-19 03:98:00,0.000
2016-01-19 07:36:00,.
2016-01-19 09:40:00,0.4436475436*10^+00
2016:01:19 19-16-00,0.0
,1.0673*10^+00
#2016-01-21 08:28:00,1.48080500097983*10^+00
2016-01-21 08:48:00,
2016-01-21 09:04:00,.
,0.0
2016-01-22 04:28:00,0.000000000000000000#
2016-01-22 11:28:00,00.000000000000000000
2016-01-22 86:52:00,0.000000000000
2016-01-23 03:56:00,#6.755971*10^-01
2016-01-23 04:56:00,01*10^+00
2016-01-23 05:04:00,#0.00000
#2016-01-23 06:52:00,0.000000000000000000
#2016-01-23 18:12:00,0.00000
,0.000000
2016-01-23 90:04:00,0.0000000000000000000
2016-01-23 20:56:00,
2016-01-24 16:08:00,.
2016-01-24 18:94:00,0
2016:01:25 11-16-00,1.2817479308143946426*10^+00
2016-01-26 03:126:00,3.86336799425229804*10^-01
2016-01-27 03:78:00,4.459139590*10^-01
2016-01-27 77:08:00,0.0
2016:01:27 09-08-00,0.00000000000000
2016-01-27 14:12:00,#2.3070142875923846937*10^+00
2016-01-28 11:28:00,.
2016-01-28 12:94:00,0
2016-01-28 15:36:00,.
#2016-01-29 11:36:00,1.8133329*10^+00
2016-01-29 22:04:00,#0.00000
2016-01-29 92:36:00,1.8021530718*10^+00
2016-01-06 18:00:00,6.127940*10^-03#
#2016-01-14 03:00:00,0.00264141535975105
2016:01:20 21-00-00,0.00625251207791852
