2016-1-1 0:0:00,1.151922904026
2016-01-01 00:05:00,6.4567908907573620669*10^-02
2016-01-01 00:10:00,0.1556264
2016-01-01 00:15:00,0.4728203180585151
2016-01-01 00:20:00,1.234535310526628*10^+00
2016-01-01 00:25:00,8.746*10^-01
2016-01-01 00:30:00,0.058722
2016-01-01 00:35:00,0.27960079991240
2016-01-01 00:40:00,1.454280
2016-01-01 00:45:00,0.33578359537561592
2016-01-01 00:50:00,1.2081772369370686881
2016-01-01 00:55:00,3.8792500942*10^-01
2016-01-01 01:00:00,1.3201368280314544901*10^+00
2016-01-01 01:05:00,1.039883716283
2016-01-01 01:10:00,0.988059466
2016-01-01 01:15:00,3.75080060*10^-01
2016-01-01 01:20:00,1.2279124789535591500*10^+00
2016-01-01 01:25:00,1.336472842999023*10^+00
2016-01-01 01:30:00,5.6314056626*10^-01
2016-01-01 01:35:00,1.207732667079070898
2016-01-01 01:40:00,5.1*10^-01
2016-01-01 01:45:00,0.743705
2016-01-01 01:50:00,0.049708845349824
2016-01-01 01:55:00,0.57178757156794313
2016-01-01 02:00:00,0.099309
2016-01-01 02:05:00,5.84001118589193124*10^-01
2016-01-01 02:10:00,9.788371790102*10^-01
2016-01-01 02:15:00,1.41281919503250
2016-01-01 02:20:00,0.33
2016-01-01 02:25:00,1.15
2016-01-01 02:30:00,0.4069314037482
2016-01-01 02:35:00,3.0308231399538099*10^-01
2016-01-01 02:40:00,5.48*10^-01
2016-01-01 02:45:00,1.33366149
2016-01-01 02:50:00,0.7914890876465892
2016-01-01 02:55:00,0.463777632436
2016-01-01 03:00:00,1.4111685663979354*10^+00
2016-01-01 03:05:00,1.295352697742802*10^+00
2016-01-01 03:10:00,1*10^+00
2016-01-01 03:15:00,1.270254
2016-01-01 03:20:00,1.3926*10^+00
2016-01-01 03:25:00,0.0#
2016-01-01 03:30:00,4.9059975542621681033*10^-01
2016-01-01 03:35:00,2.6*10^-01
2016-01-01 03:40:00,0.7
2016-01-01 03:45:00,1.5061426729*10^-01
2016-01-01 03:50:00,1.08955
2016-01-01 03:55:00,0.2990332261
2016-01-01 04:00:00,4.4*10^-01
2016-01-01 04:05:00,9.617461305865*10^-01
2016-01-01 04:10:00,9.337851563160*10^-01
2016-01-01 04:15:00,8.6066760488816885*10^-01
2016-01-01 04:20:00,1.366196000
2016-01-01 04:25:00,1.23645396728*10^-01
2016-01-01 04:30:00,1.0968*10^+00
2016-01-01 04:35:00,0.676702367224126244
2016-01-01 04:40:00,1.16070724542286
2016-01-01 04:45:00,1.340208651656382*10^+00
2016-01-01 04:50:00,0.24732317135079
2016-01-01 04:55:00,0.6
2016-01-01 05:00:00,0.9197238222322
2016-01-01 05:05:00,3.5621*10^-01
2016-01-01 05:10:00,1.224304
2016-01-01 05:15:00,1.4142516295
2016-01-01 05:20:00,0
2016-01-01 05:25:00,1.4
2016-01-01 05:30:00,0.92135367492277
2016-01-01 05:35:00,0.497401056577172540
2016-01-01 05:40:00,0.7762683
2016-01-01 05:45:00,1.824305160820626*10^-03
2016-01-01 05:50:00,4*10^-02
2016-01-01 05:55:00,0.46
2016-01-01 06:00:00,9.497000833*10^-01
2016-01-01 06:05:00,3.07290252*10^-02
2016-01-01 06:10:00,0.1342521238300260766
2016-01-01 06:15:00,9.03686619318876*10^-01
2016-01-01 06:20:00,1.2080
2016-01-01 06:25:00,4.9724597*10^-01
2016-01-01 06:30:00,0.203720635363702052
2016-01-01 06:35:00,7.588079368038141*10^-01
2016-01-01 06:40:00,0.90
2016-01-01 06:45:00,5.8542284722692*10^-01
2016-01-01 06:50:00,0.43677757281659990
2016-01-01 06:55:00,5.6149758890*10^-01
2016-01-01 07:00:00,0.4440104
2016-01-01 07:05:00,0.325146
2016-01-01 07:10:00,6.49618241*10^-03
2016-01-01 07:15:00,1.226323465689236114
2016-01-01 07:20:00,1.14884*10^+00
2016-01-01 07:25:00,1.08920294283
2016-01-01 07:30:00,1.1*10^-01
2016-01-01 07:35:00,0.8468156821778117793
2016-01-01 07:40:00,1.118
2016-01-01 07:45:00,1.2*10^+00
2016-01-01 07:50:00,1.228324672313558352*10^+00
2016-01-01 07:55:00,2.978587238108*10^-01
2016-01-01 08:00:00,1.36438741505*10^+00
2016-01-01 08:05:00,1.21148*10^+00
2016-01-01 08:10:00,1.2894383898421369
2016-01-01 08:15:00,1.01704537566614
2016-01-01 08:20:00,6.285530531912*10^-01
2016-01-01 08:25:00,0.8985679
2016-01-01 08:30:00,3.154928588*10^-02
2016-01-01 08:35:00,5.8380082*10^-01
2016-01-01 08:40:00,0.158988479
2016-01-01 08:45:00,5.185126517985541028*10^-01
2016-01-01 08:50:00,0.1114
2016-01-01 08:55:00,1.139490*10^+00
2016-01-01 09:00:00,0.799
2016-01-01 09:05:00,0.9
2016-01-01 09:10:00,1.2438466927241*10^+00
2016-01-01 09:15:00,0.17693499
2016-01-01 09:20:00,1.19836932*10^+00
2016-01-01 09:25:00,1.392230064790803
2016-01-01 09:30:00,0.191529518315349
2016-01-01 09:35:00,3.699964*10^-01
2016-01-01 09:40:00,1.0422906*10^+00
2016-01-01 09:45:00,1.023*10^+00
2016-01-01 09:50:00,6.8710932*10^-01
2016-01-01 09:55:00,1.492454849645707071*10^+00
2016-01-01 10:00:00,1*10^+00
2016-01-01 10:05:00,0.1423132
2016-01-01 10:10:00,1.11146667954114564*10^+00
2016-01-01 10:15:00,1.1
2016-01-01 10:20:00,0.955924298128078
2016-01-01 10:25:00,1.2667310730399243823
2016-01-01 10:30:00,0.351463
2016-01-01 10:35:00,0.89856787
2016-01-01 10:40:00,0.80863510
2016-01-01 10:45:00,0.0827325
2016-01-01 10:50:00,1.345387176*10^+00
2016-01-01 10:55:00,0.0587
2016-01-01 11:00:00,0.48045736481
2016-01-01 81:05:00,0.00000000000000
2016-01-01 11:10:00,4.9226*10^-01
2016-01-01 11:15:00,1.2597
2016-01-01 11:20:00,1.2570771427*10^+00
2016-01-01 11:25:00,0.29252133043135
2016-01-01 11:30:00,1.2979*10^+00
2016-01-01 11:35:00,7.4522138654497516175*10^-01
2016-01-01 11:40:00,0.28217378784072294
2016-01-01 11:45:00,0.09
2016-01-01 11:50:00,4.92264547*10^-01
2016-01-01 11:55:00,7.08425372936030*10^-01
2016-01-01 12:00:00,1.378611344787577*10^+00
2016-01-01 12:05:00,0.410
2016-01-01 12:10:00,0.73757599910608
2016-01-01 12:15:00,0.5250473294989
2016-01-01 12:20:00,1.111533161304674*10^+00
2016-01-01 12:25:00,9.87052*10^-01
2016-01-01 12:30:00,8.28337363819*10^-01
