thru: 237.952ms at    4.2kB/s (   4.2kB/s avg)    1024B
thru:  86.907ms at   11.5kB/s (   6.2kB/s avg)    2.0kB
thru:  87.783ms at   11.4kB/s (   7.3kB/s avg)    3.0kB
thru:  90.141ms at   11.1kB/s (   8.0kB/s avg)    4.0kB
thru:  84.562ms at   11.8kB/s (   8.5kB/s avg)    5.0kB
thru:  87.464ms at   11.4kB/s (   8.9kB/s avg)    6.0kB
thru:  97.367ms at   10.3kB/s (   9.1kB/s avg)    7.0kB
thru: 291.128ms at    3.4kB/s (   7.5kB/s avg)    8.0kB
thru:  87.327ms at   11.5kB/s (   7.8kB/s avg)    9.0kB
thru:  87.492ms at   11.4kB/s (   8.1kB/s avg)   10.0kB
thru:  87.462ms at   11.4kB/s (   8.3kB/s avg)   11.0kB
thru:  87.726ms at   11.4kB/s (   8.5kB/s avg)   12.0kB
thru:  88.123ms at   11.3kB/s (   8.7kB/s avg)   13.0kB
thru:  86.523ms at   11.6kB/s (   8.8kB/s avg)   14.0kB
thru: 130.617ms at    7.7kB/s (   8.7kB/s avg)   15.0kB
thru:  87.453ms at   11.4kB/s (   8.9kB/s avg)   16.0kB
thru:  87.081ms at   11.5kB/s (   9.0kB/s avg)   17.0kB
thru:  86.773ms at   11.5kB/s (   9.1kB/s avg)   18.0kB
thru:  88.042ms at   11.4kB/s (   9.2kB/s avg)   19.0kB
thru:  87.384ms at   11.4kB/s (   9.3kB/s avg)   20.0kB
thru:  86.707ms at   11.5kB/s (   9.4kB/s avg)   21.0kB
thru: 132.896ms at    7.5kB/s (   9.3kB/s avg)   22.0kB
thru:  84.901ms at   11.8kB/s (   9.3kB/s avg)   23.0kB
thru:  87.315ms at   11.5kB/s (   9.4kB/s avg)   24.0kB
thru:  75.582ms at   13.2kB/s (   9.5kB/s avg)   25.0kB
thru: 181.948ms at    5.5kB/s (   9.3kB/s avg)   26.0kB
thru:  87.824ms at   11.4kB/s (   9.3kB/s avg)   27.0kB
thru:  87.603ms at   11.4kB/s (   9.4kB/s avg)   28.0kB
thru:  79.971ms at   12.5kB/s (   9.5kB/s avg)   29.0kB
thru: 204.802ms at    4.9kB/s (   9.2kB/s avg)   30.0kB
thru:  87.882ms at   11.4kB/s (   9.2kB/s avg)   31.0kB
thru:  75.212ms at   13.3kB/s (   9.3kB/s avg)   32.0kB
thru: 182.326ms at    5.5kB/s (   9.1kB/s avg)   33.0kB
