time=6.335524138,thread=0,resp_time=3.4974585,throughput=4.666249421531308,queue_time=1.0056426428571428,queue_size=1,calculating=0.45461514285714283,waiting=1.2858992142857144,mainthread=0.7513015,gets=5,sets=9
time=6.338124267,thread=1,resp_time=6.432834333333333,throughput=1.999821180656275,queue_time=1.052152,queue_size=0,calculating=0.9070113333333334,waiting=4.295862166666667,mainthread=0.17780883333333333,gets=1,sets=5
time=6.338228272,thread=2,resp_time=3.327617733333333,throughput=4.999552951640688,queue_time=0.4183872,queue_size=0,calculating=1.0143500666666667,waiting=1.8039158,mainthread=0.09096466666666667,gets=7,sets=8
time=6.338352578,thread=3,resp_time=3.924856125,throughput=2.6664282408750335,queue_time=0.640893875,queue_size=0,calculating=0.6833715,waiting=2.432832375,mainthread=0.167758375,gets=2,sets=6
time=6.338444783,thread=4,resp_time=3.0136304545454546,throughput=3.666338831203171,queue_time=0.49084245454545455,queue_size=0,calculating=0.6286219090909091,waiting=1.7994250909090908,mainthread=0.094741,gets=6,sets=5
time=6.338538187,thread=5,resp_time=2.4819679090909093,throughput=3.666338831203171,queue_time=0.5243622727272728,queue_size=0,calculating=0.12141509090909092,waiting=1.7433132727272727,mainthread=0.09287727272727272,gets=5,sets=6
time=6.338630692,thread=6,resp_time=2.995125777777778,throughput=2.9997317709844125,queue_time=0.41244244444444444,queue_size=0,calculating=0.087282,waiting=2.3999963333333336,mainthread=0.095405,gets=6,sets=3
time=6.338732897,thread=7,resp_time=2.1182546666666666,throughput=3.99964236131255,queue_time=0.9374293333333333,queue_size=0,calculating=0.085521,waiting=1.0255508333333334,mainthread=0.0697535,gets=8,sets=4
time=6.338823001,thread=8,resp_time=3.271894777777778,throughput=2.9997317709844125,queue_time=1.7085954444444444,queue_size=0,calculating=0.21043266666666666,waiting=1.257839888888889,mainthread=0.09502677777777778,gets=6,sets=3
time=6.338915306,thread=9,resp_time=4.185373222222222,throughput=2.9997317709844125,queue_time=1.3762455555555555,queue_size=0,calculating=0.9885931111111111,waiting=1.7041064444444445,mainthread=0.11642811111111111,gets=4,sets=5
time=6.33901081,thread=10,resp_time=3.1232741,throughput=3.333035301093792,queue_time=0.481024,queue_size=0,calculating=0.3434469,waiting=1.4443712,mainthread=0.854432,gets=2,sets=8
time=6.339090414,thread=11,resp_time=3.019824,throughput=2.6664282408750335,queue_time=0.729248625,queue_size=0,calculating=0.256937625,waiting=1.938395625,mainthread=0.095242125,gets=6,sets=2
time=6.339175719,thread=12,resp_time=3.1600461,throughput=3.333035301093792,queue_time=0.5474171999999999,queue_size=0,calculating=0.303545,waiting=2.2055488,mainthread=0.1035351,gets=3,sets=7
time=6.339280724,thread=13,resp_time=3.0231763636363636,throughput=3.666338831203171,queue_time=0.9812028181818182,queue_size=0,calculating=0.17334481818181818,waiting=1.754204909090909,mainthread=0.11442381818181818,gets=6,sets=5
time=6.339363028,thread=14,resp_time=3.216580888888889,throughput=2.9997317709844125,queue_time=0.9736813333333334,queue_size=0,calculating=0.13580677777777778,waiting=1.9472626666666668,mainthread=0.15983011111111112,gets=3,sets=6
time=6.339445332,thread=15,resp_time=2.73341,throughput=2.6664282408750335,queue_time=1.265125125,queue_size=0,calculating=0.129356375,waiting=1.242173875,mainthread=0.096754625,gets=4,sets=4
time=6.339523736,thread=16,resp_time=2.1790825833333334,throughput=3.99964236131255,queue_time=0.44278833333333334,queue_size=0,calculating=0.09500466666666667,waiting=1.5609771666666667,mainthread=0.08031241666666668,gets=9,sets=3
time=6.339649142,thread=17,resp_time=1.5519675454545454,throughput=3.666338831203171,queue_time=0.4964060909090909,queue_size=0,calculating=0.11307854545454546,waiting=0.8278134545454546,mainthread=0.11466945454545455,gets=5,sets=6
time=6.339734946,thread=18,resp_time=3.1506554285714286,throughput=2.333124710765654,queue_time=0.6396458571428572,queue_size=0,calculating=0.06014585714285715,waiting=2.3897178571428572,mainthread=0.06114585714285715,gets=6,sets=1
time=6.340166068,thread=19,resp_time=2.9483957000000003,throughput=3.333035301093792,queue_time=0.8104999,queue_size=0,calculating=0.2443021,waiting=1.7860083999999998,mainthread=0.10758530000000001,gets=4,sets=6
time=6.340260272,thread=20,resp_time=1.986423125,throughput=2.6664282408750335,queue_time=0.595941875,queue_size=0,calculating=0.106567875,waiting=1.198496625,mainthread=0.08541675,gets=5,sets=3
time=6.340337776,thread=21,resp_time=3.316751,throughput=2.6664282408750335,queue_time=1.202471625,queue_size=0,calculating=0.337366625,waiting=1.5508265,mainthread=0.22608625,gets=4,sets=4
time=6.340431381,thread=22,resp_time=2.4328866666666666,throughput=3.99964236131255,queue_time=0.3997114166666667,queue_size=0,calculating=0.7241273333333333,waiting=1.228469,mainthread=0.08057891666666667,gets=5,sets=7
time=6.340510385,thread=23,resp_time=2.273900888888889,throughput=2.9997317709844125,queue_time=0.41294255555555553,queue_size=0,calculating=0.873821,waiting=0.8905104444444445,mainthread=0.09662688888888889,gets=4,sets=5
time=6.340589188,thread=24,resp_time=4.1427045,throughput=2.6664282408750335,queue_time=0.72537325,queue_size=0,calculating=0.42269575,waiting=2.885217625,mainthread=0.109417875,gets=0,sets=8
time=6.340699294,thread=25,resp_time=3.7505281428571426,throughput=2.333124710765654,queue_time=0.7212784285714285,queue_size=0,calculating=1.0945682857142858,waiting=1.815304,mainthread=0.11937742857142856,gets=0,sets=7
time=6.340781098,thread=26,resp_time=1.9732775,throughput=3.333035301093792,queue_time=0.671313,queue_size=0,calculating=0.1239362,waiting=1.072393,mainthread=0.1056353,gets=5,sets=5
time=6.340852801,thread=27,resp_time=2.469996625,throughput=2.6664282408750335,queue_time=0.544939625,queue_size=0,calculating=0.165520375,waiting=1.60774175,mainthread=0.151794875,gets=3,sets=5
time=6.340930105,thread=28,resp_time=1.6975746363636364,throughput=3.666338831203171,queue_time=0.39481945454545453,queue_size=0,calculating=0.10643254545454546,waiting=1.0958723636363634,mainthread=0.10045027272727272,gets=4,sets=7
time=6.341010809,thread=29,resp_time=1.9180246,throughput=3.333035301093792,queue_time=1.0035994,queue_size=0,calculating=0.1168559,waiting=0.7253556,mainthread=0.07221369999999999,gets=6,sets=4
time=6.341084013,thread=30,resp_time=1.48729825,throughput=2.6664282408750335,queue_time=0.660670125,queue_size=0,calculating=0.0833415,waiting=0.664345375,mainthread=0.07894125,gets=6,sets=2
time=6.341159517,thread=31,resp_time=2.7999109090909093,throughput=3.666338831203171,queue_time=0.8001030909090909,queue_size=0,calculating=0.14905272727272725,waiting=1.7438133636363635,mainthread=0.10694172727272729,gets=4,sets=7
time=6.341243921,thread=32,resp_time=1.336684090909091,throughput=3.666338831203171,queue_time=0.47172336363636364,queue_size=0,calculating=0.13052463636363637,waiting=0.6487772727272727,mainthread=0.08565881818181818,gets=8,sets=3
time=6.341324525,thread=33,resp_time=2.264802,throughput=3.333035301093792,queue_time=0.9263355999999999,queue_size=0,calculating=0.1190158,waiting=1.049632,mainthread=0.16981860000000001,gets=6,sets=4
time=6.341396928,thread=34,resp_time=3.7043685714285712,throughput=2.333124710765654,queue_time=1.3591385714285713,queue_size=1,calculating=0.13783528571428572,waiting=2.115247285714286,mainthread=0.09214742857142856,gets=3,sets=4
time=6.341478432,thread=35,resp_time=2.5375086666666666,throughput=3.99964236131255,queue_time=0.6642495,queue_size=0,calculating=0.14429866666666666,waiting=1.6444895,mainthread=0.084471,gets=5,sets=7
time=6.341557336,thread=36,resp_time=4.140634299999999,throughput=3.333035301093792,queue_time=1.0095300999999999,queue_size=1,calculating=0.1470671,waiting=2.9068232999999997,mainthread=0.0772138,gets=3,sets=7
time=6.347745442,thread=37,resp_time=1.8977034,throughput=3.333035301093792,queue_time=0.9472868000000001,queue_size=0,calculating=0.1182559,waiting=0.7100247,mainthread=0.122136,gets=6,sets=4
time=6.347820945,thread=38,resp_time=2.1974304444444446,throughput=2.9997317709844125,queue_time=1.0170168888888889,queue_size=0,calculating=0.08847111111111111,waiting=1.022439111111111,mainthread=0.06950333333333333,gets=6,sets=3
time=6.347957752,thread=39,resp_time=5.420667666666667,throughput=1.999821180656275,queue_time=4.447852666666667,queue_size=0,calculating=0.08332066666666667,waiting=0.8278908333333334,mainthread=0.0616035,gets=4,sets=2
time=6.348083858,thread=40,resp_time=3.194779888888889,throughput=2.9997317709844125,queue_time=0.5530495555555555,queue_size=0,calculating=0.147474,waiting=2.3939624444444445,mainthread=0.10029388888888889,gets=4,sets=5
time=6.348162062,thread=41,resp_time=4.559780666666667,throughput=2.9997317709844125,queue_time=0.5815287777777778,queue_size=1,calculating=0.10952766666666668,waiting=3.803832222222222,mainthread=0.064892,gets=5,sets=4
time=6.348239166,thread=42,resp_time=3.603552875,throughput=2.6664282408750335,queue_time=2.61054125,queue_size=0,calculating=0.197047125,waiting=0.696659625,mainthread=0.099304875,gets=5,sets=3
time=6.34831247,thread=43,resp_time=3.4209788999999997,throughput=3.333035301093792,queue_time=2.0265,queue_size=0,calculating=0.0893443,waiting=1.2379712,mainthread=0.0671634,gets=7,sets=3
time=6.348389773,thread=44,resp_time=4.882185222222222,throughput=2.9997317709844125,queue_time=2.4112636666666667,queue_size=0,calculating=0.17505277777777778,waiting=2.2162426666666666,mainthread=0.0796261111111111,gets=4,sets=5
time=6.348477978,thread=45,resp_time=1.564614875,throughput=2.6664282408750335,queue_time=0.54136425,queue_size=0,calculating=0.103767625,waiting=0.765962875,mainthread=0.153520125,gets=5,sets=3
time=6.348557382,thread=46,resp_time=3.753326470588235,throughput=5.6661600118594455,queue_time=1.3753738823529411,queue_size=0,calculating=0.13965388235294118,waiting=1.051128294117647,mainthread=1.1871704117647057,gets=9,sets=8
time=6.348942401,thread=47,resp_time=3.6202674444444445,throughput=2.9997317709844125,queue_time=1.1085992222222223,queue_size=1,calculating=0.15666333333333335,waiting=2.2459218888888888,mainthread=0.109083,gets=4,sets=5
time=6.349025305,thread=48,resp_time=3.859478125,throughput=2.6664282408750335,queue_time=0.57421575,queue_size=0,calculating=2.011324375,waiting=1.17942075,mainthread=0.09451725,gets=3,sets=5
time=6.349112509,thread=49,resp_time=1.4664975,throughput=2.6664282408750335,queue_time=0.601792375,queue_size=0,calculating=0.11221825,waiting=0.67480825,mainthread=0.077678625,gets=4,sets=4
time=6.349185213,thread=50,resp_time=3.3739095714285714,throughput=2.333124710765654,queue_time=0.7394078571428572,queue_size=0,calculating=0.12752057142857143,waiting=2.413019428571429,mainthread=0.09396171428571429,gets=4,sets=3
time=6.349273617,thread=51,resp_time=2.617154125,throughput=2.6664282408750335,queue_time=0.65890725,queue_size=1,calculating=0.183834375,waiting=1.684945625,mainthread=0.089466875,gets=2,sets=6
time=6.349557231,thread=52,resp_time=2.1904414166666664,throughput=3.99964236131255,queue_time=0.6538823333333333,queue_size=0,calculating=0.09711316666666667,waiting=1.3709925833333332,mainthread=0.06845333333333332,gets=7,sets=5
time=6.349657036,thread=53,resp_time=2.054318,throughput=1.999821180656275,queue_time=0.7047348333333334,queue_size=0,calculating=0.14624066666666666,waiting=1.0640523333333332,mainthread=0.13929016666666666,gets=2,sets=4
time=6.34973714,thread=54,resp_time=2.4316999,throughput=3.333035301093792,queue_time=1.397569,queue_size=0,calculating=0.0871342,waiting=0.8760032,mainthread=0.0709935,gets=7,sets=3
time=6.349822744,thread=55,resp_time=2.610657285714286,throughput=2.333124710765654,queue_time=1.1115835714285713,queue_size=0,calculating=0.11144842857142856,waiting=1.2882205714285713,mainthread=0.09940471428571429,gets=4,sets=3
time=6.349902248,thread=56,resp_time=4.087435111111111,throughput=2.9997317709844125,queue_time=1.8823485555555555,queue_size=0,calculating=0.18794255555555556,waiting=1.922506,mainthread=0.094638,gets=3,sets=6
time=6.349979252,thread=57,resp_time=4.4607705,throughput=2.6664282408750335,queue_time=1.66079475,queue_size=0,calculating=0.93348375,waiting=1.771774875,mainthread=0.094717125,gets=3,sets=5
time=6.350052456,thread=58,resp_time=2.2926961666666665,throughput=1.999821180656275,queue_time=1.2954473333333332,queue_size=0,calculating=0.20137666666666665,waiting=0.7103346666666667,mainthread=0.0855375,gets=3,sets=3
time=6.350161661,thread=59,resp_time=4.118158666666666,throughput=2.9997317709844125,queue_time=2.1113043333333334,queue_size=0,calculating=0.22638866666666665,waiting=1.6877612222222222,mainthread=0.09270444444444444,gets=4,sets=5
time=6.350241165,thread=60,resp_time=2.581405222222222,throughput=2.9997317709844125,queue_time=0.8995554444444445,queue_size=0,calculating=0.10041622222222221,waiting=1.5093634444444446,mainthread=0.07207011111111111,gets=6,sets=3
time=6.35034937,thread=61,resp_time=3.790974625,throughput=2.6664282408750335,queue_time=1.60096675,queue_size=0,calculating=0.230874,waiting=1.8273275,mainthread=0.131806375,gets=2,sets=6
time=6.350423874,thread=62,resp_time=3.182223777777778,throughput=2.9997317709844125,queue_time=0.9980492222222223,queue_size=0,calculating=0.09800488888888889,waiting=1.9979764444444446,mainthread=0.08819322222222221,gets=6,sets=3
time=6.350504878,thread=63,resp_time=1.7676653333333332,throughput=2.9997317709844125,queue_time=0.8964997777777778,queue_size=0,calculating=0.08398188888888888,waiting=0.7001682222222223,mainthread=0.08701544444444444,gets=8,sets=1
time=9.351183228,thread=0,resp_time=1.3046097076923076,throughput=43.10887421948283,queue_time=0.06949571538461538,queue_size=0,calculating=0.08956286923076923,waiting=1.1059130153846155,mainthread=0.03963810769230769,gets=61,sets=69
time=9.351467042,thread=1,resp_time=1.1383483359375,throughput=42.445660769952326,queue_time=0.0664626484375,queue_size=1,calculating=0.0876542890625,waiting=0.9479765,mainthread=0.0362548984375,gets=67,sets=61
time=9.351661151,thread=2,resp_time=1.3308057401574804,throughput=42.11405404518707,queue_time=0.066245,queue_size=0,calculating=0.08566097637795275,waiting=1.143140566929134,mainthread=0.0357591968503937,gets=71,sets=56
time=9.351772157,thread=3,resp_time=1.286572325203252,throughput=40.78762714612606,queue_time=0.04962356097560976,queue_size=0,calculating=0.07931778048780488,waiting=1.1237789512195122,mainthread=0.033852032520325204,gets=69,sets=54
time=9.351917864,thread=4,resp_time=1.5490718636363636,throughput=36.476739724177776,queue_time=0.08632520909090909,queue_size=0,calculating=0.08493510909090908,waiting=1.3420043181818182,mainthread=0.035807227272727275,gets=58,sets=52
time=9.352064271,thread=5,resp_time=1.2985369603174604,throughput=41.78244732042182,queue_time=0.09587296031746032,queue_size=0,calculating=0.08732176984126984,waiting=1.0767459126984127,mainthread=0.03859631746031746,gets=63,sets=63
time=9.352207278,thread=6,resp_time=1.3762161499999999,throughput=39.7928069718303,queue_time=0.06988931666666666,queue_size=0,calculating=0.08244651666666666,waiting=1.1878110583333334,mainthread=0.03606925833333333,gets=62,sets=58
time=9.352313583,thread=7,resp_time=1.2628909836065574,throughput=40.45602042136081,queue_time=0.07237983606557376,queue_size=0,calculating=0.08036134426229508,waiting=1.076824368852459,mainthread=0.033325434426229504,gets=67,sets=55
time=9.352420989,thread=8,resp_time=1.6466493103448276,throughput=38.46638007276929,queue_time=0.0629514051724138,queue_size=0,calculating=0.23705214655172416,waiting=1.2610915344827587,mainthread=0.08555422413793103,gets=55,sets=61
time=9.352514993,thread=9,resp_time=1.1980765648148148,throughput=35.81352627464727,queue_time=0.06201140740740741,queue_size=0,calculating=0.10979342592592593,waiting=0.9803408148148148,mainthread=0.04593091666666666,gets=50,sets=58
time=9.352732404,thread=10,resp_time=1.35346426446281,throughput=40.12441369659555,queue_time=0.06784714049586778,queue_size=0,calculating=0.08529927272727272,waiting=1.1664649504132232,mainthread=0.033852900826446285,gets=60,sets=61
time=9.352829609,thread=11,resp_time=1.4481000925925926,throughput=35.81352627464727,queue_time=0.06891453703703704,queue_size=0,calculating=0.08494032407407408,waiting=1.260880648148148,mainthread=0.033364583333333336,gets=55,sets=53
time=9.352929814,thread=12,resp_time=1.4731845338983052,throughput=39.1295935222998,queue_time=0.09102824576271187,queue_size=0,calculating=0.09370372033898305,waiting=1.2512185423728814,mainthread=0.03723402542372881,gets=55,sets=63
time=9.353089522,thread=13,resp_time=1.3060684918032788,throughput=40.45602042136081,queue_time=0.09043968852459017,queue_size=0,calculating=0.09344725409836066,waiting=1.0862133524590165,mainthread=0.03596819672131148,gets=54,sets=68
time=9.353189427,thread=14,resp_time=1.3951130088495576,throughput=37.47155989847354,queue_time=0.07318502654867257,queue_size=1,calculating=0.09103546902654867,waiting=1.1905825486725665,mainthread=0.040309964601769915,gets=54,sets=59
time=9.353280631,thread=15,resp_time=1.4061666666666668,throughput=38.79798679753455,queue_time=0.06169702564102564,queue_size=1,calculating=0.09264133333333333,waiting=1.2151992051282052,mainthread=0.03662910256410256,gets=54,sets=63
time=9.353387336,thread=16,resp_time=1.3954957226890756,throughput=39.46120024706505,queue_time=0.07894672268907563,queue_size=0,calculating=0.08468740336134453,waiting=1.196107756302521,mainthread=0.035753840336134456,gets=64,sets=55
time=9.353486241,thread=17,resp_time=1.4176072089552239,throughput=44.43530111854384,queue_time=0.13097430597014925,queue_size=0,calculating=0.15450244029850746,waiting=1.0976190447761194,mainthread=0.03451141791044776,gets=63,sets=71
time=9.353580346,thread=18,resp_time=1.703690888888889,throughput=38.79798679753455,queue_time=0.08119118803418802,queue_size=1,calculating=0.0862777264957265,waiting=1.4503544273504272,mainthread=0.08586754700854701,gets=59,sets=58
time=9.353722453,thread=19,resp_time=1.5910435596330275,throughput=36.145132999412525,queue_time=0.06459492660550459,queue_size=0,calculating=0.09069163302752294,waiting=1.3997405412844037,mainthread=0.03601645871559633,gets=45,sets=64
time=9.353831458,thread=20,resp_time=1.260412134328358,throughput=44.43530111854384,queue_time=0.24613678358208957,queue_size=0,calculating=0.09780704477611941,waiting=0.8802627835820895,mainthread=0.036205522388059706,gets=69,sets=65
time=9.353961965,thread=21,resp_time=1.74083788,throughput=41.450840595656565,queue_time=0.130373672,queue_size=0,calculating=0.1107278,waiting=1.460952928,mainthread=0.03878348,gets=49,sets=76
time=9.360097967,thread=22,resp_time=1.3963801603773585,throughput=35.15031282511677,queue_time=0.12109561320754716,queue_size=0,calculating=0.09552641509433962,waiting=1.1388656226415095,mainthread=0.04089250943396227,gets=52,sets=55
time=9.360241174,thread=23,resp_time=1.32091775,throughput=38.46638007276929,queue_time=0.06790156034482758,queue_size=0,calculating=0.10509314655172415,waiting=1.1033768275862068,mainthread=0.044546215517241375,gets=50,sets=66
time=9.360324078,thread=24,resp_time=1.4411710483870968,throughput=41.119233870891314,queue_time=0.0656644758064516,queue_size=0,calculating=0.10562783064516129,waiting=1.2270226209677417,mainthread=0.04285612096774193,gets=54,sets=70
time=9.360403682,thread=25,resp_time=1.4624245833333334,throughput=39.7928069718303,queue_time=0.06876014166666666,queue_size=0,calculating=0.09918736666666667,waiting=1.2578094666666666,mainthread=0.03666760833333333,gets=56,sets=64
time=9.360485686,thread=26,resp_time=1.5151347039999998,throughput=41.450840595656565,queue_time=0.068375408,queue_size=1,calculating=0.141309344,waiting=1.26852976,mainthread=0.036920192000000004,gets=61,sets=64
time=9.36057339,thread=27,resp_time=1.464103352,throughput=41.450840595656565,queue_time=0.070835432,queue_size=0,calculating=0.133748264,waiting=1.222175456,mainthread=0.037344199999999994,gets=63,sets=62
time=9.360664595,thread=28,resp_time=1.4176108818897637,throughput=42.11405404518707,queue_time=0.12021376377952757,queue_size=0,calculating=0.08283483464566929,waiting=1.174355598425197,mainthread=0.04020668503937008,gets=65,sets=62
time=9.360750599,thread=29,resp_time=1.6742448461538462,throughput=43.10887421948283,queue_time=0.06268002307692308,queue_size=0,calculating=0.09316303846153846,waiting=1.4784290076923077,mainthread=0.03997277692307693,gets=58,sets=72
time=9.360827903,thread=30,resp_time=1.5800287672413793,throughput=38.46638007276929,queue_time=0.06063321551724138,queue_size=0,calculating=0.08536020689655173,waiting=1.3978163189655173,mainthread=0.03621902586206897,gets=58,sets=58
