time=3.306834406,thread=0,resp_time=55.2542762,throughput=23.32235630872717,queue_time=32.889042485714285,queue_size=118,calculating=0.028128871428571428,waiting=22.190268014285714,mainthread=0.14683682857142857,gets=70,sets=0
time=3.310569136,thread=1,resp_time=57.36014676829268,throughput=27.320474533080397,queue_time=38.08734219512195,queue_size=128,calculating=0.015254939024390244,waiting=19.16277817073171,mainthread=0.09477146341463415,gets=82,sets=0
time=3.310687137,thread=2,resp_time=49.350017377777775,throughput=29.985886682649216,queue_time=31.795833266666666,queue_size=128,calculating=0.023246855555555553,waiting=17.50741042222222,mainthread=0.023526833333333334,gets=90,sets=0
time=3.310760037,thread=3,resp_time=53.335289734939764,throughput=27.6536510517765,queue_time=34.35647362650602,queue_size=128,calculating=0.02171101204819277,waiting=18.93395431325301,mainthread=0.02315078313253012,gets=83,sets=0
time=3.310828738,thread=4,resp_time=57.20274382051282,throughput=25.98776845829599,queue_time=37.21094629487179,queue_size=128,calculating=0.01832707692307692,waiting=19.952939564102564,mainthread=0.020530884615384618,gets=78,sets=0
time=3.310902238,thread=5,resp_time=55.11815675,throughput=29.31953364525701,queue_time=37.049080034090906,queue_size=128,calculating=0.021627420454545455,waiting=17.946334920454547,mainthread=0.101114375,gets=88,sets=0
time=3.310997239,thread=6,resp_time=53.23412979761905,throughput=27.986827570472602,queue_time=34.45275303571428,queue_size=128,calculating=0.06420882142857143,waiting=18.697196404761904,mainthread=0.019971535714285713,gets=84,sets=0
time=3.31106324,thread=7,resp_time=56.1828673125,throughput=26.65412149568819,queue_time=36.359040775,queue_size=128,calculating=0.015465075,waiting=19.6985531,mainthread=0.1098083625,gets=80,sets=0
time=3.31112874,thread=8,resp_time=52.829741032608695,throughput=30.652239720041422,queue_time=35.976060152173915,queue_size=128,calculating=0.016924021739130435,waiting=16.817552358695654,mainthread=0.0192045,gets=92,sets=0
time=3.311189141,thread=9,resp_time=56.50984184057971,throughput=22.989179790031066,queue_time=33.54795762318841,queue_size=128,calculating=0.05294821739130434,waiting=22.887127086956525,mainthread=0.02180891304347826,gets=69,sets=0
time=3.311302842,thread=10,resp_time=56.05244246153846,throughput=25.98776845829599,queue_time=35.76077584615385,queue_size=128,calculating=0.016616820512820513,waiting=20.176115666666668,mainthread=0.0989341282051282,gets=78,sets=0
time=3.311422342,thread=11,resp_time=55.39715447560976,throughput=27.320474533080397,queue_time=36.114402195121954,queue_size=128,calculating=0.01846109756097561,waiting=19.243615390243903,mainthread=0.020675792682926828,gets=82,sets=0
time=3.311500543,thread=12,resp_time=57.081357867469876,throughput=27.6536510517765,queue_time=38.26208156626506,queue_size=128,calculating=0.018491710843373494,waiting=18.5756731686747,mainthread=0.225111421686747,gets=83,sets=0
time=3.311566944,thread=13,resp_time=54.241854708333335,throughput=23.988709346119375,queue_time=32.43855893055556,queue_size=128,calculating=0.018779277777777777,waiting=21.75809125,mainthread=0.02642525,gets=72,sets=0
time=3.311640844,thread=14,resp_time=49.99388172826087,throughput=30.652239720041422,queue_time=33.125735489130435,queue_size=128,calculating=0.020360978260869564,waiting=16.78849020652174,mainthread=0.05929505434782609,gets=92,sets=0
time=3.311753245,thread=15,resp_time=53.52590467857142,throughput=27.986827570472602,queue_time=34.938206773809526,queue_size=128,calculating=0.026859738095238096,waiting=18.53498320238095,mainthread=0.025854964285714287,gets=84,sets=0
time=3.311825146,thread=16,resp_time=56.151338421686745,throughput=27.6536510517765,queue_time=37.08454093975904,queue_size=128,calculating=0.021632710843373495,waiting=19.02544169879518,mainthread=0.019723072289156627,gets=83,sets=0
time=3.311894246,thread=17,resp_time=52.876305086419755,throughput=26.987298014384294,queue_time=33.39754385185185,queue_size=128,calculating=0.019531086419753086,waiting=19.435415123456792,mainthread=0.023815024691358024,gets=81,sets=0
time=3.311969447,thread=18,resp_time=53.591700352272724,throughput=29.31953364525701,queue_time=35.60547425,queue_size=128,calculating=0.017456909090909092,waiting=17.949846272727275,mainthread=0.018922920454545456,gets=88,sets=0
time=3.312248949,thread=19,resp_time=55.76600305128205,throughput=25.98776845829599,queue_time=35.95314671794872,queue_size=128,calculating=0.017021961538461538,waiting=19.774659935897436,mainthread=0.0211744358974359,gets=78,sets=0
time=3.31232205,thread=20,resp_time=51.684738467391306,throughput=30.652239720041422,queue_time=34.61699503260869,queue_size=128,calculating=0.02064691304347826,waiting=17.02647135869565,mainthread=0.02062516304347826,gets=92,sets=0
time=3.31241165,thread=21,resp_time=55.312237975609754,throughput=27.320474533080397,queue_time=36.274230304878046,queue_size=128,calculating=0.022290439024390245,waiting=18.992027987804878,mainthread=0.023689243902439025,gets=82,sets=0
time=3.312481251,thread=22,resp_time=53.55948003571428,throughput=27.986827570472602,queue_time=34.78584729761904,queue_size=128,calculating=0.033795488095238094,waiting=18.72180852380952,mainthread=0.018028726190476192,gets=84,sets=0
time=3.312546451,thread=23,resp_time=54.99454191025641,throughput=25.98776845829599,queue_time=34.895820410256405,queue_size=128,calculating=0.01601423076923077,waiting=19.964384512820512,mainthread=0.11832275641025641,gets=78,sets=0
time=3.312617952,thread=24,resp_time=52.5085586,throughput=24.98823890220768,queue_time=31.479841826666668,queue_size=128,calculating=0.03762698666666666,waiting=20.967552226666665,mainthread=0.023537560000000003,gets=75,sets=0
time=3.312685152,thread=25,resp_time=55.17305698809524,throughput=27.986827570472602,queue_time=36.43208522619048,queue_size=128,calculating=0.01971564285714286,waiting=18.616781452380952,mainthread=0.10447466666666667,gets=84,sets=0
time=3.312754253,thread=26,resp_time=55.253604475609755,throughput=27.320474533080397,queue_time=36.16397570731708,queue_size=128,calculating=0.019412280487804877,waiting=18.97059863414634,mainthread=0.09961785365853658,gets=82,sets=0
